"RefDes";"Name";"Pattern";"Center X (mil)";"Center Y (mil)";"Side";"Rotation";"Value"
"R48";"R-US_R0603 (R-US_)";"RES_0603";"753.7";"2256.2";"Top";"0.0";"1K"
"R49";"R-US_R0603 (R-US_)";"RES_0603";"753.7";"2181.2";"Top";"0.0";"1K"
"R50";"R-US_R0603 (R-US_)";"RES_0603";"753.7";"2106.2";"Top";"0.0";"1K"
"R51";"R-US_R0603 (R-US_)";"RES_0603";"805.48";"1970.58";"Top";"180.0";"100K"
"R52";"R-US_R0603 (R-US_)";"RES_0603";"940.08";"1969.26";"Top";"180.0";"100K"
"R53";"R-US_R0603 (R-US_)";"RES_0603";"1811.76";"1802.83";"Top";"180.0";"200K"
"R54";"R-US_R0603 (R-US_)";"RES_0603";"2237.16";"1791.2";"Top";"0.0";"33K"
"R55";"R-US_R0603 (R-US_)";"RES_0603";"2932.74";"1777.04";"Top";"180.0";"200K"
"R56";"R-US_R0603 (R-US_)";"RES_0603";"2069.4";"1754.87";"Top";"0.0";"200K"
"R57";"R-US_R0603 (R-US_)";"RES_0603";"1812.16";"1718.7";"Top";"180.0";"200K"
"R58";"R-US_R0603 (R-US_)";"RES_0603";"1657.74";"1717.77";"Top";"0.0";"33K"
"R59";"R-US_R0603 (R-US_)";"RES_0603";"2762.16";"1711.19";"Top";"180.0";"33K"
"R60";"R-US_R0603 (R-US_)";"RES_0603";"1093.32";"1704.87";"Top";"180.0";"33K"
"R61";"R-US_R0603 (R-US_)";"RES_0603";"2934.85";"1679.71";"Top";"180.0";"100K"
"R62";"R-US_R0603 (R-US_)";"RES_0603";"799.32";"1656.8";"Top";"180.0";"100K"
"R63";"R-US_R0603 (R-US_)";"RES_0603";"935.26";"1655.79";"Top";"180.0";"100K"
"R64";"R-US_R0603 (R-US_)";"RES_0603";"2065.65";"1641.87";"Top";"0.0";"100K"
"R65";"R-US_R0603 (R-US_)";"RES_0603";"1656.14";"1622.61";"Top";"180.0";"100K"
"R66";"R-US_R0603 (R-US_)";"RES_0603";"1096.5";"1610.45";"Top";"0.0";"100K"
"R67";"R-US_R0603 (R-US_)";"RES_0603";"3204.8";"1452.13";"Top";"0.0";"510R"
"R68";"R-US_R0603 (R-US_)";"RES_0603";"1919.14";"1328.58";"Top";"180.0";"100K"
"R69";"R-US_R0603 (R-US_)";"RES_0603";"1599.66";"1306.2";"Top";"0.0";"200K"
"R70";"R-US_R0603 (R-US_)";"RES_0603";"1237.76";"1302.16";"Top";"180.0";"100K"
"R71";"R-US_R0603 (R-US_)";"RES_0603";"2732.74";"1268.7";"Top";"0.0";"1M"
"R72";"R-US_R0603 (R-US_)";"RES_0603";"1917.25";"1234.87";"Top";"180.0";"200K"
"R73";"R-US_R0603 (R-US_)";"RES_0603";"2403.7";"1227.16";"Top";"180.0";"100K"
"R74";"R-US_R0603 (R-US_)";"RES_0603";"1733.12";"1191.25";"Top";"180.0";"100K"
"R75";"R-US_R0603 (R-US_)";"RES_0603";"2724.66";"1168.7";"Top";"0.0";"100R"
"R76";"R-US_R0603 (R-US_)";"RES_0603";"545.24";"1143.7";"Top";"180.0";"200K"
"R77";"R-US_R0603 (R-US_)";"RES_0603";"1012.16";"1143.7";"Top";"0.0";"200K"
"R78";"R-US_R0603 (R-US_)";"RES_0603";"3216.2";"1127.16";"Top";"0.0";"200K"
"R79";"R-US_R0603 (R-US_)";"RES_0603";"1241.2";"1110.24";"Top";"0.0";"33K"
"R80";"R-US_R0603 (R-US_)";"RES_0603";"1734.61";"1095.67";"Top";"0.0";"33K"
"R81";"R-US_R0603 (R-US_)";"RES_0603";"1921.57";"1051.38";"Top";"0.0";"33K"
"R82";"R-US_R0603 (R-US_)";"RES_0603";"3216.2";"1039.66";"Top";"180.0";"100K"
"R83";"R-US_R0603 (R-US_)";"RES_0603";"1237.16";"1018.7";"Top";"0.0";"200K"
"R84";"R-US_R0603 (R-US_)";"RES_0603";"2416.2";"1010.24";"Top";"0.0";"33K"
"R85";"R-US_R0603 (R-US_)";"RES_0603";"2399.66";"893.7";"Top";"0.0";"200K"
"R86";"R-US_R0603 (R-US_)";"RES_0603";"728.7";"760.24";"Top";"270.0";"100K"
"R87";"R-US_R0603 (R-US_)";"RES_0603";"828.7";"760.24";"Top";"270.0";"100K"
"R88";"R-US_R0603 (R-US_)";"RES_0603";"1545.24";"768.7";"Top";"0.0";"33K"
"R89";"R-US_R0603 (R-US_)";"RES_0603";"2182.74";"668.7";"Top";"180.0";"180K"
"R90";"R-US_R0603 (R-US_)";"RES_0603";"628.7";"614.66";"Top";"90.0";"1K"
"R91";"R-US_R0603 (R-US_)";"RES_0603";"928.7";"614.66";"Top";"90.0";"1K"
"R92";"R-US_R0603 (R-US_)";"RES_0603";"728.7";"610.24";"Top";"270.0";"100K"
"R93";"R-US_R0603 (R-US_)";"RES_0603";"828.7";"610.24";"Top";"270.0";"100K"
"R94";"R-US_R0603 (R-US_)";"RES_0603";"1382.74";"618.7";"Top";"0.0";"200K"
"R95";"R-US_R0603 (R-US_)";"RES_0603";"1545.24";"593.7";"Top";"180.0";"100K"
"R96";"R-US_R0603 (R-US_)";"RES_0603";"2037.16";"581.2";"Top";"180.0";"47K"
"R97";"R-US_R0603 (R-US_)";"RES_0603";"2195.24";"581.2";"Top";"180.0";"100K"
"R98";"R-US_R0402 (R-US_)";"RES_0603";"1153.7";"2168.7";"Top";"180.0";"1.0k"
"R99";"R-US_R0402 (R-US_)";"RES_0603";"2803.7";"2168.7";"Top";"0.0";"1.0k"
"R100";"R-US_R0402 (R-US_)";"RES_0603";"2253.7";"2168.7";"Top";"180.0";"1.0k"
"R101";"R-US_R0402 (R-US_)";"RES_0603";"1703.7";"2168.7";"Top";"0.0";"1.0k"
"S_BANK";"TAC_SWITCHTACTILE_PTH_SILK (TAC_SWITCH)";"TACTILE-PTH_SILK";"3378.7";"1793.7";"Bottom";"270.0";"Mini Button"
"S_HOLD";"LED_BUTTONLED_BUTTON_SILK (LED_BUTTON)";"LED_BUTTON_SILK";"728.7";"4393.7";"Bottom";"270.0";"LED Button White"
"S_MUTE_INS";"TAC_SWITCHTACTILE_PTH_SILK (TAC_SWITCH)";"TACTILE-PTH_SILK";"1328.7";"4518.7";"Bottom";"270.0";"Mini Button"
